date,Fund_A,Fund_B,Fund_C
2015-01-30,5035236,763660000,134971282
2015-02-02,5042147,763660000,135084706
2015-02-03,5042147,763660000,136882443
2015-02-04,5167825,763660000,136554605
2015-02-05,5242297,763660000,138185766
2015-02-06,5244102,763660000,138251532
2015-02-09,5259021,763660000,138206178
2015-02-10,5311089,763660000,139517638
2015-02-11,5329607,763660000,140425845
2015-02-12,5372509,763660000,141628481
2015-02-13,5436776,763660000,142284462
2015-02-16,5450739,763660000,142284462
2015-02-17,5444786,763660000,142771690
2015-02-18,5504556,763660000,143215975
2015-02-19,5520576,763660000,143865327
2015-02-20,5574310,763660000,145017143
2015-02-23,5710742,763660000,144713859
2015-02-24,5817660,763660000,145149261
2015-02-25,5841969,763660000,145936304
2015-02-26,5965756,763660000,146046927
2015-02-27,5959302,777170000,145305676
2015-03-02,6049350,777170000,146343303
2015-03-03,6153703,777170000,144816426
2015-03-04,6170264,777170000,144609000
2015-03-05,6205803,777170000,140197867
2015-03-06,6238965,777170000,137787540
2015-03-09,6271431,777170000,137490588
2015-03-10,6240535,777170000,134718183
2015-03-11,6326423,777170000,134848382
2015-03-12,6396155,777170000,134280312
2015-03-13,6437562,777170000,134290781
2015-03-16,6482011,777170000,136302534
2015-03-17,6448303,777170000,140459071
2015-03-18,6451169,777170000,140165265
2015-03-19,6511196,777170000,139961208
2015-03-20,6509574,777170000,141624763
2015-03-23,6473821,777170000,139653492
2015-03-24,6532132,777170000,138936137
2015-03-25,6440818,777170000,136406635
2015-03-26,6474075,777170000,135157944
2015-03-27,6492409,777170000,135294945
2015-03-30,6534945,777170000,136766127
2015-03-31,6556673,768280000,135323614
2015-04-01,6526173,768280000,134555181
2015-04-02,6570329,768280000,134194008
2015-04-03,6570329,768280000,134194008
2015-04-06,6570329,768280000,135170088
2015-04-07,6623681,768280000,133403672
2015-04-08,6644920,768280000,133723867
2015-04-09,6831048,768280000,133629390
2015-04-10,6907298,768280000,134134386
2015-04-13,6910198,768280000,133349880
2015-04-14,6896550,768280000,133197522
2015-04-15,6939311,768280000,133397114
2015-04-16,6917838,768280000,132977212
2015-04-17,6927102,768280000,131172210
2015-04-20,6961889,768280000,132454392
2015-04-21,7014973,768280000,132222637
2015-04-22,7058608,768280000,133109753
2015-04-23,7058608,768280000,133581102
2015-04-24,7042217,768280000,134523389
2015-04-27,6985421,768280000,134036764
2015-04-28,6990930,768280000,133712488
2015-04-29,6940082,768280000,132400425
2015-04-30,6881522,787450000,130753542
2015-05-01,6881522,787450000,131890156
2015-05-04,6923116,787450000,131938309
2015-05-05,6872397,787450000,130436450
2015-05-06,6828992,787450000,130151811
2015-05-07,6891551,787450000,130678397
2015-05-08,6928299,787450000,132616287
2015-05-11,6940723,787450000,132027708
2015-05-12,6936819,787450000,131624481
2015-05-13,6926638,787450000,131357409
2015-05-14,6926638,787450000,133059078
2015-05-15,7036072,787450000,133021268
2015-05-18,7036072,787450000,134945604
2015-05-19,7155683,787450000,135692219
2015-05-20,7185641,787450000,135979054
2015-05-21,7225487,787450000,135880233
2015-05-22,7323470,787450000,136450511
2015-05-25,7323470,787450000,136450511
2015-05-26,7315350,787450000,134977399
2015-05-27,7425526,787450000,136518401
2015-05-28,7410799,787450000,136325075
2015-05-29,7361028,785500000,135582705
2015-06-01,7419518,785500000,136380912
2015-06-02,7438242,785500000,136548921
2015-06-03,7396159,785500000,136910884
2015-06-04,7368760,785500000,135337271
2015-06-05,7369699,785500000,135775899
2015-06-08,7326170,785500000,134605784
